symbol,interval,total_return,sharpe_ratio,max_drawdown,win_rate,trades_executed,trading_volume,winning_trades,losing_trades,open_position,open_position_value,open_position_return,net_profit_loss,total_fees_paid,strategy
BTC/USD,15,-0.009359967820566636,-1.8539244404223232,0.01044812271371502,0.2727272727272727,11,10855.227402413131,3,8,0.014763200020184854,989.6333975130675,0.002178264893157334,-93.59967820566635,75.21917000579849,ao
BTC/USD,15,-0.0174896026877097,-2.733037099903437,0.01848023010080675,0.25,28,27592.868318284058,7,21,0.014642046602458884,981.5120235399083,0.002178264893157334,-174.89602687709703,185.92907746705086,apo
BTC/USD,15,-0.007366634893373339,-1.4984352416354936,0.007808538365644093,0.2857142857142857,7,6901.714448715003,2,5,0.0,0.0,0.0,-73.66634893373339,45.79441431300033,bias
BTC/USD,15,-0.11153004853220791,-12.723800407999947,0.1116051332251027,0.08333333333333333,180,168758.764194143,15,165,0.0,0.0,0.0,-1115.300485322079,1117.4883352829077,bos
BTC/USD,15,-0.0011727230007247272,-0.6942426030679393,0.0015941711152965931,0.5,2,1987.9743193171216,1,1,0.0,0.0,0.0,-11.727230007247272,13.159330366516915,brar
BTC/USD,15,-0.012904873586893155,-2.551818786766434,0.01352577308054515,0.21052631578947367,19,18767.171259325136,4,15,0.014551195070354545,975.4219001071325,-0.009855098152169053,-129.04873586893154,127.50808341026686,cci
BTC/USD,15,-0.02877644661007398,-4.592721706761446,0.028868945859825513,0.1794871794871795,39,38184.17684144715,7,32,0.0,0.0,0.0,-287.7644661007398,252.96518989168362,cfo
BTC/USD,15,-0.010260331954319917,-1.8112342943183775,0.011253660671916974,0.3333333333333333,15,14831.811543520183,5,10,0.014720919459548997,986.7991708675156,0.0,-102.60331954319918,101.48498440558859,gc
ETH/USD,15,-0.008446749938502217,-1.3215559309153484,0.011261682801482698,0.3333333333333333,9,8876.810790213358,3,6,0.3996900974462959,991.3673362999457,0.003101910081005582,-84.46749938502217,62.13720617316857,ao
ETH/USD,15,-0.020925586540022415,-2.810204984670463,0.022850058389787452,0.16129032258064516,31,30490.53640613157,5,26,0.39382423004808587,976.8179907574694,0.0007423845067581785,-209.25586540022414,205.15158400578875,apo
ETH/USD,15,-0.0012378466876069069,-0.21605045145717816,0.0038449195450284885,0.6,5,4986.292153151092,3,2,0.0,0.0,0.0,-12.37846687606907,32.95037715148824,bias
ETH/USD,15,-0.11204668371988519,-11.375479621078311,0.11204668371988519,0.07222222222222222,180,168832.83483527845,13,167,0.0,0.0,0.0,-1120.4668371988519,1117.9942504755954,bos
ETH/USD,15,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,brar
ETH/USD,15,-0.018051152720966093,-2.812697597773701,0.018172167429764095,0.36363636363636365,22,21669.09980404692,8,14,0.0,0.0,0.0,-180.51152720966093,143.61174674650155,cci
ETH/USD,15,-0.028961150218434706,-3.6329390751124637,0.0296884998407483,0.16666666666666666,42,41167.10497901852,7,35,0.0,0.0,0.0,-289.61150218434705,272.6586108187305,cfo
ETH/USD,15,-0.01827160514267089,-2.8243706278943836,0.01907355788519785,0.15,20,19656.36135342971,3,17,0.0,0.0,0.0,-182.71605142670887,130.3349479023442,gc
BTC/USD,30,-0.00204139047826975,-0.2522237523056692,0.005191902423447964,0.42857142857142855,7,6974.972892095589,3,4,0.0,0.0,0.0,-20.4139047826975,46.10218697361379,ao
BTC/USD,30,-0.014391240257658137,-1.4863316213917916,0.01736301852257107,0.2222222222222222,27,26730.3361192894,6,21,0.0,0.0,0.0,-143.91240257658137,176.89512931581277,apo
BTC/USD,30,-0.0011568489946996124,-0.129559440189038,0.007741421215592747,0.625,8,7999.334302521856,5,3,0.0,0.0,0.0,-11.568489946996124,52.83378241346936,bias
BTC/USD,30,-0.11554060679292888,-9.615614370674074,0.11562407769636157,0.125,192,180194.09557537216,24,168,0.0,0.0,0.0,-1155.4060679292888,1193.0938708216224,bos
BTC/USD,30,0.0011681782585083057,0.19885938881598017,0.0038096062029152797,0.5,4,4015.1102924326574,2,2,0.0,0.0,0.0,11.681782585083056,26.461178047524765,brar
BTC/USD,30,-0.00894573736099992,-1.5464254996922633,0.009386702151454847,0.4375,16,15877.99985232391,7,9,0.014625697859196056,980.4161051537767,-0.008641177436219043,-89.4573736099992,108.32538150525825,cci
BTC/USD,30,-0.02004713100739973,-2.0378482937223428,0.020993312779205575,0.28888888888888886,45,44509.51020714994,13,32,0.0,0.0,0.0,-200.4713100739973,294.4243226904338,cfo
BTC/USD,30,-0.010946385501134864,-1.2281075432686237,0.014853505830227026,0.4090909090909091,22,21806.882889159737,9,13,0.0,0.0,0.0,-109.46385501134864,144.2866577899917,gc
ETH/USD,30,-0.013888642916187018,-1.4792792145648046,0.015059902085583811,0.08333333333333333,12,11800.94304982283,1,11,0.0,0.0,0.0,-138.88642916187018,78.34454934506485,ao
